source name	characteristics[organism]	characteristics[disease]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[organism part]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	characteristics[depletion]	assay name	technology type	comment[label]	comment[proteomexchange accession number]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[ms2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	15	00522_G08_P003813_B0O_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G08_P003813_B0O_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	16	00522_H08_P003813_B0P_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H08_P003813_B0P_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	17	00522_A09_P003813_B0Q_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A09_P003813_B0Q_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 66	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	18	00522_B09_P003813_B0R_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B09_P003813_B0R_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 70	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	19	00522_C09_P003813_B0S_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C09_P003813_B0S_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	20	00522_D09_P003813_B0T_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D09_P003813_B0T_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 72	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	21	00522_E09_P003813_B0U_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E09_P003813_B0U_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 62	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	22	00522_F09_P003813_B0V_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F09_P003813_B0V_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 61	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	23	00522_G09_P003813_B0W_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G09_P003813_B0W_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 3	homo sapiens	prostate carcinoma	not available	not available	prostate	male reproductive system	male	62Y	epithelial	PC-3	1	no depletion	run 65	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	24	00522_H09_P003813_B0X_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H09_P003813_B0X_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	PC-3
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 96	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	1	00522_A10_P003814_B0A_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A10_P003814_B0A_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 77	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	2	00522_B10_P003814_B0B_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B10_P003814_B0B_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 76	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	3	00522_C10_P003814_B0C_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C10_P003814_B0C_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 94	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	4	00522_D10_P003814_B0D_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D10_P003814_B0D_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 90	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	5	00522_E10_P003814_B0E_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E10_P003814_B0E_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 80	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	6	00522_F10_P003814_B0F_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F10_P003814_B0F_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 75	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	7	00522_G10_P003814_B0G_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G10_P003814_B0G_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 74	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	8	00522_H10_P003814_B0H_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H10_P003814_B0H_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 78	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	9	00522_A11_P003814_B0I_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A11_P003814_B0I_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 82	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	10	00522_B11_P003814_B0J_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B11_P003814_B0J_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 95	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	11	00522_C11_P003814_B0K_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C11_P003814_B0K_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 92	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	12	00522_D11_P003814_B0L_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D11_P003814_B0L_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 81	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	13	00522_E11_P003814_B0M_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E11_P003814_B0M_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 86	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	14	00522_F11_P003814_B0N_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F11_P003814_B0N_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 83	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	15	00522_G11_P003814_B0O_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G11_P003814_B0O_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 87	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	16	00522_H11_P003814_B0P_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H11_P003814_B0P_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 91	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	17	00522_A12_P003814_B0Q_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A12_P003814_B0Q_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 89	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	18	00522_B12_P003814_B0R_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B12_P003814_B0R_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 84	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	19	00522_C12_P003814_B0S_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C12_P003814_B0S_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 73	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	20	00522_D12_P003814_B0T_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D12_P003814_B0T_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
Sample 4	homo sapiens	non-small cell lung adenocarcinoma	not available	not available	lung	not available	male	not available	epithelial	NCI-H460	1	no depletion	run 93	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	21	00522_E12_P003814_B0U_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E12_P003814_B0U_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	NCI-H460
