source name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[infect]	characteristics[time]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters ]	comment[modification parameters ]	comment[modification parameters ]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[infect]	factor value[time]
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10 hour	1	cell	run 8	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F8.raw	8	1	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F8.raw	Severe acute respiratory syndrome coronavirus 2	 10 hour
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24 hour	1	cell	run 8	proteomic profiling by mass spectrometry	TMT130C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F8.raw	8	1	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F8.raw	Severe acute respiratory syndrome coronavirus 2	 24 hour
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	bridge mixed pool	none	1	cell	run 9	proteomic profiling by mass spectrometry	TMT131	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	bridge mixed pool	none
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 2 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT127N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	none	 2 hour
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 6 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT127C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	none	 6 hour
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 10 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT128N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	none	 10 hour
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 24 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT128C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	none	 24 hour
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	Severe acute respiratory syndrome coronavirus 2	 2 hour
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT129C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	Severe acute respiratory syndrome coronavirus 2	 6 hour
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	Severe acute respiratory syndrome coronavirus 2	 10 hour
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24 hour	1	cell	run 9	proteomic profiling by mass spectrometry	TMT130C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	Severe acute respiratory syndrome coronavirus 2	 24 hour
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	bridge mixed pool	none	1	cell	run 10	proteomic profiling by mass spectrometry	TMT131	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	bridge mixed pool	none
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 2 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT127N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	none	 2 hour
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 6 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT127C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	none	 6 hour
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 10 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT128N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	none	 10 hour
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 24 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT128C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	none	 24 hour
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	Severe acute respiratory syndrome coronavirus 2	 2 hour
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT129C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	Severe acute respiratory syndrome coronavirus 2	 6 hour
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	Severe acute respiratory syndrome coronavirus 2	 10 hour
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24 hour	1	cell	run 10	proteomic profiling by mass spectrometry	TMT130C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	Severe acute respiratory syndrome coronavirus 2	 24 hour
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	bridge mixed pool	none	1	cell	run 11	proteomic profiling by mass spectrometry	TMT131	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	bridge mixed pool	none
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 2 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT127N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	none	 2 hour
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 6 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT127C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	none	 6 hour
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 10 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT128N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	none	 10 hour
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 24 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT128C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	none	 24 hour
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	Severe acute respiratory syndrome coronavirus 2	 2 hour
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT129C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	Severe acute respiratory syndrome coronavirus 2	 6 hour
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	Severe acute respiratory syndrome coronavirus 2	 10 hour
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24 hour	1	cell	run 11	proteomic profiling by mass spectrometry	TMT130C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	Severe acute respiratory syndrome coronavirus 2	 24 hour
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	bridge mixed pool	none	1	cell	run 12	proteomic profiling by mass spectrometry	TMT131	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	bridge mixed pool	none
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 2 hour	1	cell	run 12	proteomic profiling by mass spectrometry	TMT127N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	none	 2 hour
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 6 hour	1	cell	run 12	proteomic profiling by mass spectrometry	TMT127C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	none	 6 hour
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 10 hour	1	cell	run 12	proteomic profiling by mass spectrometry	TMT128N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	none	 10 hour
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	none	 24 hour	1	cell	run 12	proteomic profiling by mass spectrometry	TMT128C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	none	 24 hour
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	not available	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2 hour	1	cell	run 12	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NT=Q Exactive HF	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=Trypsin	NT=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	Severe acute respiratory syndrome coronavirus 2	 2 hour
