source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[compound]
Sample 60	Homo sapiens	lymph node	57Y	male	Mantle cell lymphoma	not available	lymphoblast	Rec-1	no compound	glycosylation	2	cell	run 179	proteomic profiling by mass spectrometry	UM_A_2011_0933_a2-REC1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0933_a2-REC1.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Rec-1	no compound
Sample 60	Homo sapiens	lymph node	57Y	male	Mantle cell lymphoma	not available	lymphoblast	Rec-1	no compound	glycosylation	2	cell	run 180	proteomic profiling by mass spectrometry	UM_A_2011_0933_a3-REC1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0933_a3-REC1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Rec-1	no compound
Sample 61	Homo sapiens	lymph node	57Y	male	Mantle cell lymphoma	not available	lymphoblast	Rec-1	no compound	glycosylation	3	cell	run 181	proteomic profiling by mass spectrometry	UM_A_2011_0935_a1-REC1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0935_a1-REC1.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Rec-1	no compound
Sample 61	Homo sapiens	lymph node	57Y	male	Mantle cell lymphoma	not available	lymphoblast	Rec-1	no compound	glycosylation	3	cell	run 182	proteomic profiling by mass spectrometry	UM_A_2011_0935_a2-REC1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0935_a2-REC1.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Rec-1	no compound
Sample 61	Homo sapiens	lymph node	57Y	male	Mantle cell lymphoma	not available	lymphoblast	Rec-1	no compound	glycosylation	3	cell	run 183	proteomic profiling by mass spectrometry	UM_A_2011_0935_a3-REC1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0935_a3-REC1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Rec-1	no compound
Sample 62	Homo sapiens	lymph node	44Y	male	Transformed follicular lymphoma	not available	B lymphocyte	OCI-Ly1	no compound	glycosylation	3	cell	run 184	proteomic profiling by mass spectrometry	UM_A_2011_0936_a1-OCILY1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0936_a1-OCILY1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	OCI-Ly1	no compound
Sample 62	Homo sapiens	lymph node	44Y	male	Transformed follicular lymphoma	not available	B lymphocyte	OCI-Ly1	no compound	glycosylation	3	cell	run 185	proteomic profiling by mass spectrometry	UM_A_2011_0936_a2-OCILY1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0936_a2-OCILY1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	OCI-Ly1	no compound
Sample 62	Homo sapiens	lymph node	44Y	male	Transformed follicular lymphoma	not available	B lymphocyte	OCI-Ly1	no compound	glycosylation	3	cell	run 186	proteomic profiling by mass spectrometry	UM_A_2011_0936_a3-OCILY1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_0936_a3-OCILY1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	OCI-Ly1	no compound
Sample 63	Homo sapiens	lymph node	not available	not available	Burkitt lymphoma	not available	B lymphocyte	BJA-B	no compound	glycosylation	3	cell	run 187	proteomic profiling by mass spectrometry	UM_A_2011_1051_a1-BJAB.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1051_a1-BJAB.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	BJA-B	no compound
Sample 63	Homo sapiens	lymph node	not available	not available	Burkitt lymphoma	not available	B lymphocyte	BJA-B	no compound	glycosylation	3	cell	run 188	proteomic profiling by mass spectrometry	UM_A_2011_1051_a2-BJAB.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1051_a2-BJAB.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	BJA-B	no compound
Sample 63	Homo sapiens	lymph node	not available	not available	Burkitt lymphoma	not available	B lymphocyte	BJA-B	no compound	glycosylation	3	cell	run 189	proteomic profiling by mass spectrometry	UM_A_2011_1051_a3-BJAB.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1051_a3-BJAB.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	BJA-B	no compound
Sample 64	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	1	cell	run 190	proteomic profiling by mass spectrometry	UM_A_2011_1311_a1-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1311_a1-HH.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 64	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	1	cell	run 191	proteomic profiling by mass spectrometry	UM_A_2011_1311_a2-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1311_a2-HH.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 64	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	1	cell	run 192	proteomic profiling by mass spectrometry	UM_A_2011_1311_a3-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1311_a3-HH.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 65	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	2	cell	run 193	proteomic profiling by mass spectrometry	UM_A_2011_1312_a1-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1312_a1-HH.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 65	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	2	cell	run 194	proteomic profiling by mass spectrometry	UM_A_2011_1312_a2-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1312_a2-HH.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 65	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	2	cell	run 195	proteomic profiling by mass spectrometry	UM_A_2011_1312_a3-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2011_1312_a3-HH.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 66	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	3	cell	run 196	proteomic profiling by mass spectrometry	UM_A_2012_0175_a1-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0175_a1-HH.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 66	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	3	cell	run 197	proteomic profiling by mass spectrometry	UM_A_2012_0175_a2-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0175_a2-HH.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 66	Homo sapiens	peripheral blood	61Y	male	cutaneous T cell lymphoma	Caucasian	T lymphocyte	HH	no compound	glycosylation	3	cell	run 198	proteomic profiling by mass spectrometry	UM_A_2012_0175_a3-HH.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0175_a3-HH.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	HH	no compound
Sample 67	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	1	cell	run 199	proteomic profiling by mass spectrometry	UM_A_2012_0218_a1-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0218_a1-HUT78.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 67	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	1	cell	run 200	proteomic profiling by mass spectrometry	UM_A_2012_0218_a2-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0218_a2-HUT78.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 67	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	1	cell	run 201	proteomic profiling by mass spectrometry	UM_A_2012_0218_a3-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0218_a3-HUT78.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 68	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	2	cell	run 202	proteomic profiling by mass spectrometry	UM_A_2012_0471_a1-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0471_a1-HUT78.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 68	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	2	cell	run 203	proteomic profiling by mass spectrometry	UM_A_2012_0471_a2-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0471_a2-HUT78.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 68	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	2	cell	run 204	proteomic profiling by mass spectrometry	UM_A_2012_0471_a3-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0471_a3-HUT78.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 69	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	no compound	glycosylation	1	cell	run 205	proteomic profiling by mass spectrometry	UM_A_2012_0581_a1-KARPAS299.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0581_a1-KARPAS299.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	no compound
Sample 69	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	no compound	glycosylation	1	cell	run 206	proteomic profiling by mass spectrometry	UM_A_2012_0581_a2-KARPAS299.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0581_a2-KARPAS299.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	no compound
Sample 69	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	no compound	glycosylation	1	cell	run 207	proteomic profiling by mass spectrometry	UM_A_2012_0581_a3-KARPAS299.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0581_a3-KARPAS299.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	no compound
Sample 70	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	no compound	glycosylation	2	cell	run 208	proteomic profiling by mass spectrometry	UM_A_2012_0582_a1-KARPAS299.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0582_a1-KARPAS299.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	no compound
Sample 70	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	no compound	glycosylation	2	cell	run 209	proteomic profiling by mass spectrometry	UM_A_2012_0582_a2-KARPAS299.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0582_a2-KARPAS299.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	no compound
Sample 70	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	no compound	glycosylation	2	cell	run 210	proteomic profiling by mass spectrometry	UM_A_2012_0582_a3-KARPAS299.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0582_a3-KARPAS299.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	no compound
Sample 71	Homo sapiens	lymph node	not available	not available	Anaplastic large cell lymphoma	not available	T lymphocyte	SR-786	no compound	glycosylation	1	cell	run 211	proteomic profiling by mass spectrometry	UM_A_2012_0675_a1-SR786.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0675_a1-SR786.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SR-786	no compound
Sample 71	Homo sapiens	lymph node	not available	not available	Anaplastic large cell lymphoma	not available	T lymphocyte	SR-786	no compound	glycosylation	1	cell	run 212	proteomic profiling by mass spectrometry	UM_A_2012_0675_a2-SR786.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0675_a2-SR786.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SR-786	no compound
