Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell line]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	assay name	Technology Type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type
Sample 74	Homo sapiens	Right ovary	not available	not available	not available	not available	not available	not available	ovarian cancer	not available	run 74	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20141013_QEp8_FaCo_SA_TU_ROV_5.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20141013_QEp8_FaCo_SA_TU_ROV_5.RAW	organism part
Sample 75	Homo sapiens	not available	CAOV3	not available	not available	not available	not available	not available	not available	1	run 75	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_CAOV3_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_CAOV3_A.raw	cell
Sample 76	Homo sapiens	not available	CAOV3	not available	not available	not available	not available	not available	not available	2	run 76	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_CAOV3_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_CAOV3_B.raw	cell
Sample 77	Homo sapiens	not available	CAOV3	not available	not available	not available	not available	not available	not available	3	run 77	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_CAOV3_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_CAOV3_C.raw	cell
Sample 78	Homo sapiens	not available	COV318	not available	not available	not available	not available	not available	not available	1	run 78	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_COV318_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_COV318_A.raw	cell
Sample 79	Homo sapiens	not available	COV318	not available	not available	not available	not available	not available	not available	2	run 79	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_COV318_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_COV318_B.raw	cell
Sample 80	Homo sapiens	not available	COV318	not available	not available	not available	not available	not available	not available	3	run 80	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_COV318_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_COV318_C.raw	cell
Sample 81	Homo sapiens	not available	HEYA8	not available	not available	not available	not available	not available	not available	1	run 81	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_HEYA8_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_HEYA8_A.raw	cell
Sample 82	Homo sapiens	not available	HEYA8	not available	not available	not available	not available	not available	not available	2	run 82	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_HEYA8_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_HEYA8_B.raw	cell
Sample 83	Homo sapiens	not available	HEYA8	not available	not available	not available	not available	not available	not available	3	run 83	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_HEYA8_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_HEYA8_C.raw	cell
Sample 84	Homo sapiens	not available	JHOS2	not available	not available	not available	not available	not available	not available	1	run 84	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_JHOS2_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_JHOS2_A.raw	cell
Sample 85	Homo sapiens	not available	JHOS2	not available	not available	not available	not available	not available	not available	2	run 85	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_JHOS2_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_JHOS2_B.raw	cell
Sample 86	Homo sapiens	not available	JHOS2	not available	not available	not available	not available	not available	not available	3	run 86	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_JHOS2_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_JHOS2_C.raw	cell
Sample 87	Homo sapiens	not available	JHOS4	not available	not available	not available	not available	not available	not available	1	run 87	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_JHOS4_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_JHOS4_A.raw	cell
Sample 88	Homo sapiens	not available	JHOS4	not available	not available	not available	not available	not available	not available	2	run 88	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_JHOS4_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_JHOS4_B.raw	cell
Sample 89	Homo sapiens	not available	JHOS4	not available	not available	not available	not available	not available	not available	3	run 89	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_JHOS4_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_JHOS4_C.raw	cell
Sample 90	Homo sapiens	not available	OVCAR3	not available	not available	not available	not available	not available	not available	1	run 90	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVCAR3_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVCAR3_A.raw	cell
Sample 91	Homo sapiens	not available	OVCAR3	not available	not available	not available	not available	not available	not available	2	run 91	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVCAR3_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVCAR3_B.raw	cell
Sample 92	Homo sapiens	not available	OVCAR3	not available	not available	not available	not available	not available	not available	3	run 92	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVCAR3_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVCAR3_C.raw	cell
Sample 93	Homo sapiens	not available	OVCAR5	not available	not available	not available	not available	not available	not available	1	run 93	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVCAR5_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVCAR5_A.raw	cell
Sample 94	Homo sapiens	not available	OVCAR5	not available	not available	not available	not available	not available	not available	2	run 94	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVCAR5_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVCAR5_B.raw	cell
Sample 95	Homo sapiens	not available	OVCAR5	not available	not available	not available	not available	not available	not available	3	run 95	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVCAR5_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVCAR5_C.raw	cell
Sample 96	Homo sapiens	not available	OVKATE	not available	not available	not available	not available	not available	not available	1	run 96	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVKATE_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVKATE_A.raw	cell
Sample 97	Homo sapiens	not available	OVKATE	not available	not available	not available	not available	not available	not available	2	run 97	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVKATE_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVKATE_B.raw	cell
Sample 98	Homo sapiens	not available	OVKATE	not available	not available	not available	not available	not available	not available	3	run 98	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVKATE_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVKATE_C.raw	cell
Sample 99	Homo sapiens	not available	OVSAHO	not available	not available	not available	not available	not available	not available	1	run 99	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVSAHO_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVSAHO_A.raw	cell
Sample 100	Homo sapiens	not available	OVSAHO	not available	not available	not available	not available	not available	not available	2	run 100	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVSAHO_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVSAHO_B.raw	cell
Sample 101	Homo sapiens	not available	OVSAHO	not available	not available	not available	not available	not available	not available	3	run 101	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20150305_QEp7_FaCo_SA_CL_OVSAHO_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20150305_QEp7_FaCo_SA_CL_OVSAHO_C.raw	cell
