source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]
Sample 89	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 89	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15092300-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15092300-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 90	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 90	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15101116-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15101116-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 91	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 91	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15101119-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15101119-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 92	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 92	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15101140-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15101140-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 93	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 93	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15101160-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15101160-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 94	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 94	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15101173-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15101173-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 95	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 95	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15101176-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15101176-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 96	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 96	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160311_Haura-SCC-PG-06S15101201-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160311_Haura-SCC-PG-06S15101201-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 97	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 97	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15092287-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15092287-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 98	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 98	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15092295-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15092295-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 99	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 99	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15092302-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15092302-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 100	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 100	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15092303-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15092303-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 101	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 101	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101130-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101130-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 102	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 102	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101138-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101138-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 103	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 103	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101143-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101143-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 104	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 104	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101162-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101162-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 105	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 105	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101170-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101170-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 106	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 106	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101185-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101185-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 107	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 107	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101193-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101193-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 108	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 108	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160315_Haura-SCC-PG-06S15101200-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160315_Haura-SCC-PG-06S15101200-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 109	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 109	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15092276-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15092276-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 110	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 110	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15092282-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15092282-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 111	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 111	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15092293-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15092293-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 112	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 112	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15092304-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15092304-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 113	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 113	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15101124-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15101124-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 114	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 114	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15101150-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15101150-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 115	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 115	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15101154-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15101154-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 116	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 116	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160316_Haura-SCC-PG-06S15101189-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160316_Haura-SCC-PG-06S15101189-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
